Id,Player,Height,Weight
abdelal01,Alaa Abdelnaby,208,108
abdulza01,Zaid Abdul-Aziz,206,106
abdulka01,Kareem Abdul-Jabbar,218,102
abdulma02,Mahmoud Abdul-Rauf,185,73
abdulta01,Tariq Abdul-Wahad,198,101
abdursh01,Shareef Abdur-Rahim,206,102
abernto01,Tom Abernethy,201,99
ablefo01,Forest Able,190,81
abramjo01,John Abramovic,190,88
abrinal01,Álex Abrines,198,90
achiupr01,Precious Achiuwa,203,102
ackeral01,Alex Acker,196,83
ackerdo01,Don Ackerman,183,83
acresma01,Mark Acres,211,99
actonbu01,Bud Acton,198,95
acyqu01,Quincy Acy,201,108
adamsal01,Alvan Adams,206,95
adamsdo01,Don Adams,198,95
adamsge01,George Adams,196,95
adamsha01,Hassan Adams,193,99
adamsja01,Jaylen Adams,183,102
adamsjo01,Jordan Adams,196,94
adamsmi01,Michael Adams,178,73
adamsst01,Steven Adams,211,120
addisra01,Rafael Addison,201,97
adebaba01,Bam Adebayo,206,115
adelde01,Deng Adel,201,90
adelmri01,Rick Adelman,185,79
adrieje01,Jeff Adrien,201,111
afflaar01,Arron Afflalo,196,95
agerma01,Maurice Ager,196,91
aguirma01,Mark Aguirre,198,105
ahearbl01,Blake Ahearn,188,86
aingeda01,Danny Ainge,193,79
aitchma01,Matthew Aitch,201,104
ajincal01,Alexis Ajinça,218,112
akinhe01,Henry Akin,208,102
akognjo01,Josh Akognon,180,83
akoonde01,DeVaughn Akoon-Purcell,198,90
alabiso01,Solomon Alabi,216,113
alarima01,Mark Alarie,203,98
alcorga01,Gary Alcorn,206,102
aldamsa01,Santi Aldama,211,101
aldemfu01,Furkan Aldemir,208,108
aldrico01,Cole Aldrich,211,113
aldrila01,LaMarcus Aldridge,211,113
aleksch01,Chuck Aleksinas,211,117
alexacl01,Cliff Alexander,203,111
alexaco01,Cory Alexander,185,83
alexaco02,Courtney Alexander,196,92
alexaga01,Gary Alexander,201,108
alexajo01,Joe Alexander,203,104
alexaky01,Kyle Alexander,211,99
alexaty01,Ty-Shon Alexander,190,88
alexavi01,Victor Alexander,206,120
alexani01,Nickeil Alexander-Walker,198,92
alforst01,Steve Alford,188,83
alkinra01,Rawle Alkins,196,102
allenbi01,Bill Allen,203,92
allenbo01,Bob Allen,206,92
allengr01,Grayson Allen,193,89
allenja01,Jarrett Allen,211,110
allenje01,Jerome Allen,193,83
allenka01,Kadeem Allen,185,90
allenla01,Lavoy Allen,206,117
allenlu01,Lucius Allen,188,79
allenma01,Malik Allen,208,115
allenra01,Randy Allen,203,99
allenra02,Ray Allen,196,92
allento01,Tony Allen,193,96
allenwi01,Willie Allen,198,104
allisod01,Odis Allison,198,88
allrela01,Lance Allred,211,113
allumda01,Darrell Allums,206,99
almonmo01,Morris Almond,198,102
alstode01,Derrick Alston,211,102
alstora01,Rafer Alston,188,77
alumape01,Peter Aluma,208,117
alvarjo01,Jose Alvarado,183,81
amaecjo01,John Amaechi,208,122
amayaas01,Ashraf Amaya,203,104
aminual01,Al-Farouq Aminu,203,99
amundlo01,Lou Amundson,206,99
anderbo01,Bob Anderegg,190,90
anderch01,Chris Andersen,208,111
anderda03,David Andersen,211,111
anderal01,Alan Anderson,198,99
anderan01,Andrew Anderson,188,83
anderan02,Antonio Anderson,198,97
andercl01,Cliff Anderson,188,90
anderda01,Dan Anderson,208,104
